id_data,lat_app,lon_app,lat_ref,lon_ref
58,-6.3483864,108.2796085,-6.348384,108.279604
57,-6.3483536,108.2800399,-6.34834,108.28005
59,-6.3501465,108.2818238,-6.350147,108.281815
61,-6.3509817,108.2835248,-6.351013,108.283489
63,-6.3472183,108.2899405,-6.347197,108.28993
